Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
John Thompson III,Georgetown,Big East,23.0,10.0,0.697,,23.0,Lost Regional Semifinal,2004-05,42.0,23.0,0.646,1.0,1.0,,,110,65,0.629,3.0,1.0,,
Jimmy Tillette,Samford,OVC,20.0,11.0,0.645,,,,1997-98,149.0,113.0,0.569,2.0,,,,149,113,0.569,2.0,,,
Monte Towe,New Orleans,Sun Belt,10.0,19.0,0.345,,,,2001-02,70.0,78.0,0.473,,,,,70,78,0.473,,,,
Billy Tubbs,Lamar,Southland,17.0,14.0,0.548,,,,1976-77,121.0,89.0,0.576,2.0,2.0,,,609,317,0.658,12.0,6.0,1.0,
Jimmy Tubbs,SMU,CUSA,13.0,16.0,0.448,,,,2004-05,27.0,30.0,0.474,,,,,27,30,0.474,,,,
Mark Turgeon,Wichita State,MVC,26.0,9.0,0.743,,,Lost Regional Semifinal,2000-01,111.0,76.0,0.594,1.0,1.0,,,136,105,0.564,1.0,1.0,,
Jerry Wainwright,DePaul,Big East,12.0,15.0,0.444,,,,2005-06,12.0,15.0,0.444,,,,,197,160,0.552,3.0,,,
Al Walker,Binghamton,AEC,16.0,13.0,0.552,,,,2001-02,65.0,78.0,0.455,,,,,92,129,0.416,,,,
Riley Wallace,Hawaii,WAC,17.0,11.0,0.607,,,,1987-88,316.0,252.0,0.556,3.0,,,,331,279,0.543,3.0,,,
Royce Waltman,Indiana State,MVC,13.0,16.0,0.448,,,,1997-98,121.0,146.0,0.453,2.0,,,,121,146,0.453,2.0,,,
Cliff Warren,Jacksonville,A-Sun,1.0,26.0,0.037,,,,2005-06,1.0,26.0,0.037,,,,,1,26,0.037,,,,
Gary Waters,Rutgers,Big East,19.0,14.0,0.576,,,,2001-02,79.0,75.0,0.513,,,,,171,135,0.559,2.0,,,
Melvin Watkins,Missouri,Big 12,2.0,5.0,0.286,,,,2005-06,2.0,5.0,0.286,,,,,104,137,0.432,2.0,,,
Perry Watson,Detroit Mercy,Horizon,16.0,16.0,0.5,,,,1993-94,243.0,156.0,0.609,2.0,,,,243,156,0.609,2.0,,,
Derek Waugh,Stetson,A-Sun,14.0,18.0,0.438,,,,2000-01,70.0,98.0,0.417,,,,,70,98,0.417,,,,
Bruce Weber,Illinois,Big Ten,26.0,7.0,0.788,17.0,13.0,Lost Second Round,2003-04,89.0,16.0,0.848,3.0,2.0,1.0,,192,70,0.733,5.0,3.0,1.0,
Tim Welsh,Providence,Big East,12.0,15.0,0.444,,,,1998-99,127.0,114.0,0.527,2.0,,,,197,136,0.592,3.0,,,
Samuel West,Alcorn State,SWAC,8.0,20.0,0.286,,,,2003-04,26.0,60.0,0.302,,,,,26,60,0.302,,,,
Paul Westphal,Pepperdine,WCC,7.0,20.0,0.259,,,,2001-02,76.0,72.0,0.514,1.0,,,,76,72,0.514,1.0,,,
Jim Whitesell,Loyola (IL),Horizon,19.0,11.0,0.633,,,,2004-05,32.0,28.0,0.533,,,,,32,28,0.533,,,,
Dereck Whittenburg,Fordham,A-10,16.0,16.0,0.5,,,,2003-04,35.0,54.0,0.393,,,,,102,104,0.495,1.0,,,
Ralph Willard,Holy Cross,Patriot,20.0,12.0,0.625,,,,1999-00,134.0,80.0,0.626,3.0,,,,278,204,0.577,5.0,1.0,,
Bob Williams,UCSB,Big West,15.0,14.0,0.517,,,,1998-99,122.0,111.0,0.524,1.0,,,,122,111,0.524,1.0,,,
Gary Williams,Maryland,ACC,19.0,13.0,0.594,23.0,,,1989-90,353.0,191.0,0.649,11.0,7.0,2.0,1.0,560,319,0.637,14.0,9.0,2.0,1.0
Roy Williams,UNC,ACC,23.0,8.0,0.742,,10.0,Lost Second Round,2003-04,75.0,23.0,0.765,3.0,1.0,1.0,1.0,493,124,0.799,17.0,10.0,5.0,1.0
Willis Wilson,Rice,CUSA,12.0,16.0,0.429,,,,1992-93,199.0,204.0,0.494,,,,,199,204,0.494,,,,
Reggie Witherspoon,Buffalo,MAC,19.0,13.0,0.594,,,,1999-00,83.0,120.0,0.409,,,,,83,120,0.409,,,,
