,,,,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Joe Callero,Cal Poly,Big West,,11,20,.355,,,,,2009-10,111,139,.444,1,,,,,111,139,.444,1,,,
Bill Carmody,Holy Cross,Patriot,,15,17,.469,,,,,2015-16,30,37,.448,1,,,,,314,272,.536,3,,,
Chris Casey,Niagara,MAAC,,10,23,.303,,,,,2013-14,32,96,.250,,,,,,32,96,.250,,,,
Patrick Chambers,Penn State,Big Ten,,15,18,.455,,,,,2011-12,87,109,.444,,,,,,129,137,.485,1,,,
Scott Cherry,High Point,Big South,,15,16,.484,,,,,2009-10,132,118,.528,,,,,,132,118,.528,,,,
Jamion Christian,Mount St. Mary's,NEC,,20,16,.556,,,Lost First Round,,2012-13,83,81,.506,2,,,,,83,81,.506,2,,,
Jim Christian,Boston College,ACC,,9,23,.281,,,,,2014-15,29,67,.302,,,,,,271,221,.551,2,,,
Tim Cluess,Iona,MAAC,,22,13,.629,,,Lost First Round,,2010-11,162,78,.675,4,,,,,162,78,.675,4,,,
Bill Coen,Northeastern,CAA,,15,16,.484,,,,,2006-07,178,176,.503,1,,,,,178,176,.503,1,,,
Jon Coffman,Purdue Fort Wayne,Summit,,20,13,.606,,,,,2014-15,60,38,.612,,,,,,60,38,.612,,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,,14,20,.412,,,,,2014-15,42,57,.424,,,,,,144,195,.425,1,,,
Chris Collins,Northwestern,Big Ten,,24,12,.667,,,Lost Second Round,,2013-14,73,60,.549,1,,,,,73,60,.549,1,,,
Ed Cooley,Providence,Big East,,20,13,.606,,,Lost First Four,,2011-12,123,80,.606,4,,,,,215,149,.591,4,,,
John Cooper,Miami (OH),MAC,,11,21,.344,,,,,2012-13,59,100,.371,,,,,,102,152,.402,,,,
Ron Cottrell,Houston Christian,Southland,,17,14,.548,,,,,2008-09,98,181,.351,,,,,,98,181,.351,,,,
Tim Craft,Gardner-Webb,Big South,,19,14,.576,,,,,2013-14,74,60,.552,,,,,,74,60,.552,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,10,22,.312,,,,,2011-12,74,123,.376,,,,,,74,123,.376,,,,
Tom Crean,Indiana,Big Ten,,18,16,.529,11,,,,2008-09,166,135,.551,4,3,,,,356,231,.606,9,4,1,
Mick Cronin,Cincinnati,AAC,,30,6,.833,,18,Lost Second Round,,2006-07,237,135,.637,7,1,,,,306,159,.658,9,1,,
Scott Cross,UT Arlington,Sun Belt,,27,9,.750,,,,,2006-07,204,148,.580,1,,,,,204,148,.580,1,,,
Phil Cunningham,Troy,Sun Belt,,22,15,.595,,,Lost First Round,,2013-14,52,76,.406,1,,,,,52,76,.406,1,,,
Michael Curry,Florida Atlantic,CUSA,,10,20,.333,,,,,2014-15,27,65,.293,,,,,,27,65,.293,,,,
Dennis Cutts,UC-Riverside,Big West,,8,21,.276,,,,,2013-14,46,78,.371,,,,,,46,78,.371,,,,
Dan D'Antoni II,Marshall,CUSA,,20,15,.571,,,,,2014-15,48,52,.480,,,,,,48,52,.480,,,,
Keith Dambrot,Akron,MAC,,27,9,.750,,,,,2004-05,305,139,.687,3,,,,,325,173,.653,3,,,
Linc Darner,Green Bay,Horizon,,18,14,.562,,,,,2015-16,41,27,.603,1,,,,,41,27,.603,1,,,
Keno Davis,Central Michigan,MAC,,16,16,.500,,,,,2012-13,77,82,.484,,,,,,151,137,.524,1,,,
Kermit Davis Jr,Middle Tennessee,CUSA,,31,5,.861,,,Lost Second Round,,2002-03,307,180,.630,3,,,,,378,230,.622,5,,,
Mike Davis,Texas Southern,SWAC,,23,12,.657,,,Lost First Round,,2012-13,99,69,.589,3,,,,,336,221,.603,8,1,1,
Nathan Davis,Bucknell,Patriot,,26,9,.743,,,Lost First Round,,2015-16,43,23,.652,1,,,,,43,23,.652,1,,,
Johnny Dawkins Jr,UCF,AAC,,24,12,.667,,,,,2016-17,24,12,.667,,,,,,180,127,.586,1,1,,
Ed DeChellis,Navy,Patriot,,16,16,.500,,,,,2011-12,68,119,.364,,,,,,287,350,.451,2,,,
Travis DeCuire,Montana,Big Sky,,16,16,.500,,,,,2014-15,57,41,.582,,,,,,57,41,.582,,,,
Tommy Dempsey,Binghamton,AEC,,12,20,.375,,,,,2012-13,36,118,.234,,,,,,155,223,.410,,,,
Tracy Dildy,Chicago State,WAC,,6,26,.188,,,,,2010-11,52,171,.233,,,,,,52,171,.233,,,,
Jamie Dixon,TCU,Big 12,,24,15,.615,,,,,2016-17,24,15,.615,,,,,,352,138,.718,11,3,,
Cameron Dollar,Seattle,WAC,,13,17,.433,,,,,2009-10,107,138,.437,,,,,,107,138,.437,,,,
Steve Donahue,Penn,Ivy,,13,15,.464,,,,,2015-16,24,32,.429,,,,,,224,246,.477,3,1,,
Joe Dooley,Florida Gulf Coast,A-Sun,,26,8,.765,,,Lost First Round,,2013-14,91,46,.664,2,,,,,148,98,.602,2,,,
Bryce Drew,Vanderbilt,SEC,,19,16,.543,,,Lost First Round,,2016-17,19,16,.543,1,,,,,143,65,.688,3,,,
Scott Drew,Baylor,Big 12,,27,8,.771,,12,Lost Regional Semifinal,,2003-04,279,180,.608,7,4,,,,299,191,.610,7,4,,
Matthew Driscoll,North Florida,A-Sun,,15,19,.441,,,,,2009-10,133,131,.504,1,,,,,133,131,.504,1,,,
Mike Dunlap,Loyola Marymount,WCC,,15,15,.500,,,,,2014-15,37,55,.402,,,,,,37,55,.402,,,,
Mike Dunleavy Sr,Tulane,AAC,,6,25,.194,,,,,2016-17,6,25,.194,,,,,,6,25,.194,,,,
John Dunne,St. Peter's,MAAC,,23,13,.639,,,,,2006-07,139,207,.402,1,,,,,139,207,.402,1,,,
Fran Dunphy,Temple,AAC,,16,16,.500,,,,,2006-07,230,136,.628,7,,,,,540,299,.644,16,,,
Pat Duquette,UMass-Lowell,AEC,,11,20,.355,,,,,2013-14,44,73,.376,,,,,,44,73,.376,,,,
Tim Duryea,Utah State,MWC,,14,17,.452,,,,,2015-16,30,32,.484,,,,,,30,32,.484,,,,
Brian Earl,Cornell,Ivy,,8,21,.276,,,,,2016-17,8,21,.276,,,,,,8,21,.276,,,,
Dan Earl,VMI,Southern,,6,24,.200,,,,,2015-16,15,45,.250,,,,,,15,45,.250,,,,
Allen Edwards,Wyoming,MWC,,23,15,.605,,,,,2016-17,23,15,.605,,,,,,23,15,.605,,,,
Rob Ehsan,UAB,CUSA,,17,16,.515,,,,,2016-17,17,16,.515,,,,,,17,16,.515,,,,
Cliff Ellis,Coastal Carolina,Sun Belt,,20,19,.513,,,,,2007-08,199,129,.607,2,,,,,735,467,.611,10,3,,
Andy Enfield,USC,Pac-12,,26,10,.722,,,Lost Second Round,,2013-14,70,64,.522,2,,,,,111,92,.547,3,1,,
Jim Engles,Columbia,Ivy,,11,16,.407,,,,,2016-17,11,16,.407,,,,,,122,155,.440,,,,
Larry Eustachy,Colorado State,MWC,,24,12,.667,,,,,2012-13,111,60,.649,1,,,,,513,318,.617,5,1,,
Anthony Evans,Florida International,CUSA,,7,24,.226,,,,,2013-14,51,76,.402,,,,,,150,170,.469,1,,,
Bill Evans,Idaho State,Big Sky,,5,26,.161,,,,,2012-13,45,106,.298,,,,,,253,329,.435,1,,,
Jim Ferry,Duquesne,A-10,,10,22,.312,,,,,2012-13,60,97,.382,,,,,,210,246,.461,2,,,
Mark Few,Gonzaga,WCC,,37,2,.949,14,2,Lost National Final,,1999-00,503,113,.817,18,7,1,,,503,113,.817,18,7,1,
Brian Fish,Montana State,Big Sky,,16,16,.500,,,,,2014-15,37,56,.398,,,,,,37,56,.398,,,,
Steve Fisher *,San Diego State,MWC,,19,14,.576,,,,,1999-00,386,209,.649,8,2,,,,570,291,.662,15,6,3,1
Wes Flanigan,Little Rock,Sun Belt,,15,17,.469,,,,,2016-17,15,17,.469,,,,,,15,17,.469,,,,
Tim Floyd *,UTEP,CUSA,,15,17,.469,,,,,2010-11,137,94,.593,,,,,,464,275,.628,8,2,,
Steve Forbes,ETSU,Southern,,27,8,.771,,,Lost First Round,,2015-16,51,20,.718,1,,,,,51,20,.718,1,,,
Dana Ford,Tennessee State,OVC,,17,13,.567,,,,,2014-15,42,50,.457,,,,,,42,50,.457,,,,
Travis Ford,Saint Louis,A-10,,12,21,.364,,,,,2016-17,12,21,.364,,,,,,290,247,.540,6,,,
Jim Fox,Appalachian State,Sun Belt,,9,21,.300,,,,,2014-15,30,60,.333,,,,,,30,60,.333,,,,
Mark Fox,Georgia,SEC,,19,15,.559,,,,,2009-10,145,118,.551,2,,,,,268,161,.625,5,,,
John Gallagher,Hartford,AEC,,9,23,.281,,,,,2010-11,87,134,.394,,,,,,87,134,.394,,,,
Eran Ganot,Hawaii,Big West,,14,16,.467,,,,,2015-16,42,22,.656,1,,,,,45,24,.652,1,,,
Greg Gard,Wisconsin,Big Ten,,27,10,.730,9,25,Lost Regional Semifinal,,2015-16,42,18,.700,2,2,,,,42,18,.700,2,2,,
Jason Gardner,IU Indianapolis,Summit,,14,18,.438,,,,,2014-15,37,58,.389,,,,,,37,58,.389,,,,
Murray Garvin,South Carolina State,MEAC,,11,20,.355,,,,,2012-13,52,85,.380,,,,,,52,85,.380,,,,
Jayson Gee,Longwood,Big South,,6,24,.200,,,,,2013-14,35,94,.271,,,,,,35,94,.271,,,,
Tyler Geving,Portland State,Big Sky,,15,16,.484,,,,,2009-10,112,133,.457,,,,,,112,133,.457,,,,
Ray Giacoletti,Drake,MVC,,1,7,.125,,,,,2013-14,32,69,.317,,,,,,155,159,.494,2,1,,
John Giannini,La Salle,A-10,,15,15,.500,,,,,2004-05,199,207,.490,1,1,,,,324,318,.505,1,1,,
Joe Golding,Abilene Christian,Southland,,13,16,.448,,,,,2013-14,47,75,.385,,,,,,47,75,.385,,,,
Mark Gottfried,NC State,ACC,,15,17,.469,,,,,2011-12,123,86,.589,4,2,,,,401,241,.625,11,3,,
Earl Grant,College of Charleston,CAA,,25,10,.714,,,,,2014-15,51,48,.515,,,,,,51,48,.515,,,,
Michael Grant,Coppin State,MEAC,,8,24,.250,,,,,2014-15,25,69,.266,,,,,,51,100,.338,,,,
Matthew Graves,South Alabama,Sun Belt,,14,18,.438,,,,,2013-14,51,78,.395,,,,,,51,78,.395,,,,
John Groce,Illinois,Big Ten,,18,14,.562,,,,,2012-13,95,75,.559,1,,,,,180,131,.579,3,1,,
Jerod Haase,Stanford,Pac-12,,14,17,.452,,,,,2016-17,14,17,.452,,,,,,94,70,.573,1,,,
Frank Haith *,Tulsa,AAC,,15,17,.469,,,,,2014-15,58,40,.592,1,,,,,263,169,.609,4,,,
Leonard Hamilton *,Florida State,ACC,,26,9,.743,,16,Lost Second Round,,2002-03,304,196,.608,5,1,,,,504,406,.554,8,2,,
Derrin Hansen,Omaha,Summit,,18,14,.562,,,,,2012-13,76,80,.487,,,,,,76,80,.487,,,,
Ray Harper,Jacksonville State,OVC,,20,15,.571,,,Lost First Round,,2016-17,20,15,.571,1,,,,,109,79,.580,3,,,
Jon Harris,SIU-Edwardsville,OVC,,6,24,.200,,,,,2015-16,12,46,.207,,,,,,12,46,.207,,,,
Steve Hawkins,Western Michigan,MAC,,16,16,.500,,,,,2003-04,253,204,.554,2,,,,,253,204,.554,2,,,
Willie Hayes *,Alabama A&M,SWAC,,2,27,.069,,,,,2011-12,54,122,.307,,,,,,54,122,.307,,,,
Jim Hayford,Eastern Washington,Big Sky,,22,12,.647,,,,,2011-12,106,91,.538,1,,,,,106,91,.538,1,,,
Mitch Henderson,Princeton,Ivy,,23,7,.767,,,Lost First Round,,2011-12,119,60,.665,1,,,,,119,60,.665,1,,,
Steve Henson,UTSA,CUSA,,14,19,.424,,,,,2016-17,14,19,.424,,,,,,14,19,.424,,,,
Greg Herenda,FDU,NEC,,11,19,.367,,,,,2013-14,47,76,.382,1,,,,,47,76,.382,1,,,
Bill Herrion,New Hampshire,AEC,,20,12,.625,,,,,2005-06,157,206,.433,,,,,,394,375,.512,3,,,
Lew Hill,Texas-Rio Grande Valley,WAC,,10,22,.312,,,,,2016-17,10,22,.312,,,,,,10,22,.312,,,,
Barry Hinson,Southern Illinois,MVC,,17,16,.515,,,,,2012-13,79,83,.488,,,,,,284,223,.560,,,,
Bob Hoffman,Mercer,Southern,,15,17,.469,,,,,2008-09,179,130,.579,1,,,,,247,207,.544,1,,,
Chris Holtmann,Butler,Big East,,25,9,.735,,21,Lost Regional Semifinal,,2014-15,70,31,.693,3,1,,,,114,85,.573,3,1,,
Jason Hooten,Sam Houston,Southland,,21,13,.618,,,,,2010-11,137,98,.583,,,,,,137,98,.583,,,,
Ben Howland,Mississippi State,SEC,,16,16,.500,,,,,2015-16,30,33,.476,,,,,,429,241,.640,10,5,3,
Michael Huger,Bowling Green State,MAC,,13,19,.406,,,,,2015-16,29,37,.439,,,,,,29,37,.439,,,,
Bob Huggins,West Virginia,Big 12,,28,9,.757,20,13,Lost Regional Semifinal,,2007-08,229,119,.658,8,4,1,,,747,305,.710,23,8,2,
Larry Hunter,Western Carolina,Southern,,9,23,.281,,,,,2005-06,180,210,.462,,,,,,384,358,.518,1,,,
Ron Hunter,Georgia State,Sun Belt,,20,13,.606,,,,,2011-12,123,74,.624,1,,,,,344,253,.576,2,,,
Bobby Hurley,Arizona State,Pac-12,,15,18,.455,,,,,2015-16,30,35,.462,,,,,,72,55,.567,1,,,
Dan Hurley,Rhode Island,A-10,,25,10,.714,23,,Lost Second Round,,2012-13,87,74,.540,1,,,,,125,97,.563,1,,,
Martin Ingelsby,Delaware,CAA,,13,20,.394,,,,,2016-17,13,20,.394,,,,,,13,20,.394,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,7,25,.219,,,,,2008-09,105,182,.366,1,,,,,105,182,.366,1,,,
Tom Izzo,Michigan State,Big Ten,,20,15,.571,12,,Lost Second Round,,1995-96,544,220,.712,20,13,7,1,,544,220,.712,20,13,7,1
Lewis Jackson,Alabama State,SWAC,,8,23,.258,,,,,2005-06,179,196,.477,2,,,,,179,196,.477,2,,,
Ben Jacobson,Northern Iowa,MVC,,14,16,.467,,,,,2006-07,234,134,.636,4,1,,,,234,134,.636,4,1,,
Tim Jankovich,SMU,AAC,,30,5,.857,,11,Lost First Round,,2015-16,39,5,.886,1,,,,,196,126,.609,1,,,
Tony Jasick,Jacksonville,A-Sun,,17,16,.515,,,,,2014-15,43,54,.443,,,,,,95,101,.485,,,,
Avery Johnson,Alabama,SEC,,19,15,.559,,,,,2015-16,37,30,.552,,,,,,37,30,.552,,,,
Sydney Johnson,Fairfield,MAAC,,16,15,.516,,,,,2011-12,90,109,.452,,,,,,156,162,.491,1,,,
Brian Jones,North Dakota,Big Sky,,22,10,.688,,,Lost First Round,,2009-10,124,135,.479,1,,,,,124,135,.479,1,,,
James Jones,Yale,Ivy,,18,11,.621,,,,,1999-00,272,250,.521,1,,,,,272,250,.521,1,,,
Jeff Jones,Old Dominion,CUSA,,19,12,.613,,,,,2013-14,89,51,.636,,,,,,446,338,.569,7,2,,
Joe Jones,Boston University,Patriot,,18,14,.562,,,,,2011-12,107,86,.554,,,,,,193,194,.499,,,,
Johnny Jones,LSU,SEC,,10,21,.323,,,,,2012-13,90,72,.556,1,,,,,295,234,.558,3,,,
Mike Jones,Radford,Big South,,14,18,.438,,,,,2011-12,93,103,.474,,,,,,93,103,.474,,,,
Robert Jones,Norfolk State,MEAC,,17,17,.500,,,,,2013-14,73,63,.537,,,,,,73,63,.537,,,,
LaVall Jordan,Milwaukee,Horizon,,11,24,.314,,,,,2016-17,11,24,.314,,,,,,11,24,.314,,,,
Maurice Joseph,George Washington,A-10,,20,15,.571,,,,,2016-17,20,15,.571,,,,,,20,15,.571,,,,
Edward Joyner Jr,Hampton,MEAC,,14,17,.452,,,,,2009-10,134,124,.519,3,,,,,134,124,.519,3,,,
Jay Joyner,North Carolina A&T,MEAC,,3,29,.094,,,,,2015-16,8,34,.190,,,,,,8,34,.190,,,,
Greg Kampe,Oakland,Horizon,,25,9,.735,,,,,1999-00,319,262,.549,3,,,,,319,262,.549,3,,,
Danny Kaspar,Texas State,Sun Belt,,22,14,.611,,,,,2013-14,59,70,.457,,,,,,305,211,.591,1,,,
Brian Katz,Sacramento State,Big Sky,,13,18,.419,,,,,2008-09,104,165,.387,,,,,,104,165,.387,,,,
Kevin Keatts,UNC Wilmington,CAA,,29,6,.829,,,Lost First Round,,2014-15,72,28,.720,2,,,,,72,28,.720,2,,,
Kyle Keller *,Stephen F. Austin,Southland,,18,15,.545,,,,,2016-17,18,15,.545,,,,,,18,15,.545,,,,
Derek Kellogg,UMass,A-10,,15,18,.455,,,,,2008-09,155,137,.531,1,,,,,155,137,.531,1,,,
Pat Kelsey,Winthrop,Big South,,26,7,.788,,,Lost First Round,,2012-13,102,59,.634,1,,,,,102,59,.634,1,,,
Andy Kennedy,Ole Miss,SEC,,22,14,.611,,,,,2006-07,234,140,.626,2,,,,,255,153,.625,2,,,
Billy Kennedy,Texas A&M,SEC,,16,15,.516,,,,,2011-12,115,85,.575,1,1,,,,326,264,.553,3,1,,
Brian Kennedy,NJIT,A-Sun,,11,20,.355,,,,,2016-17,11,20,.355,,,,,,11,20,.355,,,,
Ernie Kent,Washington State,Pac-12,,13,18,.419,,,,,2014-15,35,58,.376,,,,,,360,311,.537,6,2,,
Eric Konkol,Louisiana Tech,CUSA,,23,10,.697,,,,,2015-16,46,20,.697,,,,,,46,20,.697,,,,
Tod Kowalczyk,Toledo,MAC,,17,17,.500,,,,,2010-11,119,110,.520,,,,,,255,222,.535,,,,
Rob Krimmel,Saint Francis (PA),NEC,,17,17,.500,,,,,2012-13,61,95,.391,,,,,,61,95,.391,,,,
Lon Kruger,Oklahoma,Big 12,,11,20,.355,,,,,2011-12,122,77,.613,4,2,1,,,601,381,.612,17,5,2,
Larry Krystkowiak,Utah,Pac-12,,20,12,.625,,,,,2011-12,115,85,.575,2,1,,,,157,105,.599,4,1,,
Mike Krzyzewski,Duke,ACC,,28,9,.757,1,7,Lost Second Round,,1980-81,998,271,.786,33,23,12,5,,1071,330,.764,33,23,12,5
Jay Ladner,Southeastern Louisiana,Southland,,16,16,.500,,,,,2014-15,37,60,.381,,,,,,37,60,.381,,,,
Matt Langel,Colgate,Patriot,,10,22,.312,,,,,2011-12,71,117,.378,,,,,,71,117,.378,,,,
Greg Lansing,Indiana State,MVC,,11,20,.355,,,,,2010-11,120,108,.526,1,,,,,120,108,.526,1,,,
Jim Larranaga,Miami (FL),ACC,,21,12,.636,,,Lost First Round,,2011-12,139,69,.668,3,2,,,,581,378,.606,8,3,1,
Anthony Latina,Sacred Heart,NEC,,13,19,.406,,,,,2013-14,45,80,.360,,,,,,45,80,.360,,,,
Jeff Lebo,East Carolina,AAC,,15,18,.455,,,,,2010-11,114,118,.491,,,,,,325,274,.543,,,,
Dave Leitao,DePaul,Big East,,9,23,.281,,,,,2002-03,76,79,.490,1,,,,,161,174,.481,2,,,
Jim Les,UC-Davis,Big West,,23,13,.639,,,Lost First Round,,2011-12,87,104,.455,1,,,,,241,244,.497,2,1,,
Jeff Linder,Northern Colorado,Big Sky,,11,18,.379,,,,,2016-17,11,18,.379,,,,,,11,18,.379,,,,
Dave Loos,Austin Peay,OVC,,11,19,.367,,,,,1990-91,420,410,.506,4,,,,,420,410,.506,4,,,
Matt Lottich,Valparaiso,Horizon,,24,9,.727,,,,,2016-17,24,9,.727,,,,,,24,9,.727,,,,
Paul Lusk,Missouri State,MVC,,17,16,.515,,,,,2011-12,88,106,.454,,,,,,88,106,.454,,,,
Chris Mack,Xavier,Big East,,24,14,.632,7,,Lost Regional Final,,2009-10,186,91,.671,7,4,,,,186,91,.671,7,4,,
Dan Majerle,Grand Canyon,WAC,,22,9,.710,,,,,2013-14,81,46,.638,,,,,,81,46,.638,,,,
Mike Maker,Marist,MAAC,,8,24,.250,,,,,2014-15,22,72,.234,,,,,,22,72,.234,,,,
Danny Manning,Wake Forest,ACC,,19,14,.576,,,Lost First Four,,2014-15,43,53,.448,1,,,,,81,82,.497,2,,,
Bob Marlin,Louisiana,Sun Belt,,21,12,.636,,,,,2010-11,128,104,.552,1,,,,,353,235,.600,3,,,
Donyell Marshall,Central Connecticut,NEC,,6,23,.207,,,,,2016-17,6,23,.207,,,,,,6,23,.207,,,,
Gregg Marshall,Wichita State,MVC,,31,5,.861,,19,Lost Second Round,,2007-08,261,90,.744,6,2,1,,,455,173,.725,13,2,1,
Phil Martelli,St. Joseph's,A-10,,11,20,.355,,,,,1995-96,414,293,.586,7,2,,,,414,293,.586,7,2,,
Cuonzo Martin,California,Pac-12,,21,13,.618,,,,,2014-15,62,39,.614,1,,,,,186,121,.606,2,1,,
Frank Martin,South Carolina,SEC,,26,11,.703,,,Lost National Semifinal,,2012-13,96,74,.565,1,1,1,,,213,128,.625,5,2,1,
Mike Martin,Brown,Ivy,,13,17,.433,,,,,2012-13,62,84,.425,,,,,,62,84,.425,,,,
Steve Masiello,Manhattan,MAAC,,10,22,.312,,,,,2011-12,102,93,.523,2,,,,,102,93,.523,2,,,
Bashir Mason,Wagner,NEC,,16,14,.533,,,,,2012-13,87,69,.558,,,,,,87,69,.558,,,,
Matt Matheny,Elon,CAA,,18,14,.562,,,,,2009-10,126,130,.492,,,,,,126,130,.492,,,,
Thad Matta,Ohio State,Big Ten,,17,15,.531,,,,,2004-05,337,123,.733,9,5,2,,,439,154,.740,13,6,2,
Fran McCaffery,Iowa,Big Ten,,19,15,.559,,,,,2010-11,137,101,.576,3,,,,,388,278,.583,8,,,
Matt McCall,Chattanooga,Southern,,19,12,.613,,,,,2015-16,48,18,.727,1,,,,,48,18,.727,1,,,
Grant McCasland,Arkansas State,Sun Belt,,20,12,.625,,,,,2016-17,20,12,.625,,,,,,20,12,.625,,,,
Steve McClain,UIC,Horizon,,17,19,.472,,,,,2015-16,22,44,.333,,,,,,179,159,.530,1,,,
Mike McConathy,Northwestern State,Southland,,13,16,.448,,,,,1999-00,280,276,.504,3,,,,,280,276,.504,3,,,
Greg McDermott,Creighton,Big East,,25,10,.714,22,,Lost First Round,,2010-11,166,82,.669,4,,,,,315,213,.597,7,,,
Nick McDevitt,UNC Asheville,Big South,,23,10,.697,,,,,2013-14,77,53,.592,1,,,,,77,53,.592,1,,,
